data,hora,taxa
2022/02/07,19:25:20,10.184674350380654
2022/02/07,19:25:22,10.300234433280464
2022/02/07,19:25:24,10.5497278261897
2022/02/07,19:25:26,10.747703438596723
2022/02/07,19:25:28,10.867001124733829
2022/02/07,19:25:30,10.494975036787329
2022/02/07,19:25:32,11.070928303978489
2022/02/07,19:25:34,10.257298231646399
2022/02/07,19:25:36,10.320326130648075
2022/02/07,19:25:39,11.004885127905599
2022/02/07,19:35:12,10.882293005084284
2022/02/07,19:35:15,10.98132210187006
2022/02/07,19:35:17,10.46125619168378
2022/02/07,19:35:19,10.882210159607967
2022/02/07,19:35:21,10.833848750664787
2022/02/07,19:35:23,10.816857562434917
2022/02/07,19:35:26,10.455418508801992
2022/02/07,19:35:33,10.209217453778198
2022/02/07,19:35:36,11.107800043082694
2022/02/07,19:35:38,10.212357019127221
2022/02/07,19:35:40,10.32199361415487
2022/02/07,19:35:43,10.516413224569401
2022/02/07,19:35:45,11.049176579008211
2022/02/07,19:35:47,10.92221591175483
2022/02/07,19:35:50,10.978900295208057
2022/02/07,19:35:52,10.483863598662802
2022/02/07,19:35:55,10.738809464591123
2022/02/07,19:43:58,10.811758543685643
2022/02/07,19:44:01,10.810828349249848
2022/02/07,19:44:03,10.467062543536738
2022/02/07,19:44:05,10.432446087813153
2022/02/07,19:44:07,10.433006952924153
2022/02/07,19:44:09,11.149863433922368
2022/02/07,19:44:11,10.469294040920346
2022/02/07,19:44:13,10.211258078272238
2022/02/07,19:44:15,10.894947603584903
2022/02/07,19:44:17,10.383220785094366
2022/02/07,20:58:46,10.932184461898936
2022/02/07,20:58:48,10.569021863831386
2022/02/07,20:58:50,11.093054216688948
2022/02/07,20:58:53,10.614655407336484
2022/02/07,20:58:55,10.851999800215955
2022/02/07,20:58:57,10.365950694113696
2022/02/07,20:58:59,11.014252344129606
2022/02/07,20:59:01,10.414911748671358
2022/02/07,20:59:04,10.512800284430256
2022/02/07,20:59:06,10.155179785487208
